tpm_convergence,sync_rate,match_probability,round_count,carrier_latency,packet_loss,throughput,jitter,share_reconstruction_failures,flow_stats,label,label_name
0.993075,0.727198,0.988118,0.562147,12.294019,0.000796,115.367851,2.127924,0.000000,36.352115,3,TrafficAnomaly
1.000000,0.738966,0.946991,0.376834,10.483109,0.015302,109.599790,1.015089,1.000000,31.064098,3,TrafficAnomaly
0.995649,0.707631,0.943029,0.507287,38.231495,0.115534,82.447338,5.697209,3.000000,6.723062,4,CarrierDisruption
0.992616,0.611971,0.871198,0.567630,11.113590,0.000000,210.103160,1.047858,0.000000,24.176696,2,MajorityAttack
0.982230,0.561219,1.000000,0.684608,22.501637,0.054158,81.070464,5.428239,3.000000,10.947572,4,CarrierDisruption
0.962479,0.699364,1.000000,0.285747,12.308960,0.000000,108.823941,2.825107,-0.000000,25.812546,3,TrafficAnomaly
1.000000,0.743918,0.926125,0.395724,29.885982,0.097789,68.433522,3.253697,6.000000,11.675088,4,CarrierDisruption
1.000000,0.677109,1.000000,0.602473,11.381116,0.025481,183.066694,0.741924,1.000000,8.881474,0,Normal
0.989747,0.505082,0.880867,0.660813,32.713312,0.003335,48.348612,5.564288,2.000000,19.365813,5,MultiStageAttack
0.976388,0.509750,0.822121,0.896373,11.841831,0.000099,163.661572,1.747169,0.000000,15.242133,2,MajorityAttack
0.942989,0.715775,0.935547,0.269812,45.400369,0.051521,74.753316,5.481524,2.000000,12.633362,4,CarrierDisruption
1.000000,0.638800,1.000000,0.494569,37.282892,0.016195,63.579704,6.944768,3.000000,10.238664,5,MultiStageAttack
1.000000,0.716847,0.916138,0.358844,9.370563,0.061844,135.184976,1.368876,3.000000,13.033243,0,Normal
1.000000,0.713825,1.000000,0.405116,10.416566,0.000000,187.396146,1.501056,1.000000,10.625815,3,TrafficAnomaly
0.985932,0.698122,1.000000,0.417286,9.516033,0.027709,165.006161,2.168260,2.000000,15.543074,0,Normal
0.976930,0.555912,0.798568,0.398119,12.906342,0.032146,157.774152,1.279313,-0.000000,18.557711,2,MajorityAttack
0.997642,0.833633,0.976752,0.531861,8.444976,0.070080,157.907792,0.921411,2.000000,5.784054,0,Normal
0.988659,0.578736,0.844039,0.608643,37.071729,0.019202,68.731615,2.731533,3.000000,17.027595,5,MultiStageAttack
0.958298,0.732671,1.000000,0.265804,10.556361,0.035016,132.553591,2.131483,-0.000000,29.220398,3,TrafficAnomaly
0.963938,0.514316,0.893027,0.727579,12.929130,0.000000,190.806250,0.976988,0.000000,15.795186,2,MajorityAttack
0.990073,0.553166,1.000000,0.602518,24.956262,0.088471,89.823298,5.704899,4.000000,12.317563,4,CarrierDisruption
1.000000,0.646456,1.000000,0.508453,16.200603,0.000432,116.329650,1.922857,-0.000000,40.966472,3,TrafficAnomaly
0.893534,0.568053,0.826831,0.610194,38.892308,0.038583,68.329177,5.854248,2.000000,24.174483,5,MultiStageAttack
1.000000,0.696985,1.000000,0.629494,35.505322,0.068613,72.813985,4.555839,3.000000,10.838161,4,CarrierDisruption
0.931983,0.545576,0.791557,0.950151,11.238172,0.011820,235.560054,1.265868,0.000000,28.775665,2,MajorityAttack
1.000000,0.659004,0.914954,0.653915,10.984741,0.000000,148.234187,1.253260,0.000000,15.070812,5,MultiStageAttack
0.970986,0.597866,0.884879,0.638065,22.569585,0.086257,75.324260,5.403359,3.000000,28.774718,5,MultiStageAttack
0.999404,0.671353,0.967183,0.937217,40.950044,0.142704,68.275389,5.736944,6.000000,7.244702,4,CarrierDisruption
0.965125,0.680572,0.952666,0.510232,14.938473,0.029425,165.216110,2.340490,0.000000,15.599269,1,GeometricAttack
1.000000,0.761943,0.936208,0.322929,10.488571,0.041700,199.120477,0.642020,1.000000,12.065985,0,Normal
0.935316,0.719162,0.875997,0.476654,34.293455,0.053286,74.172438,9.506400,4.000000,29.109960,5,MultiStageAttack
0.962443,0.634889,0.881156,0.719849,27.862344,0.093729,58.201024,2.996691,3.000000,27.181846,5,MultiStageAttack
1.000000,0.689100,1.000000,0.403881,12.118052,0.000000,216.716123,1.280680,-0.000000,11.336543,0,Normal
0.932774,0.673271,0.909201,0.478086,11.491143,0.050633,212.225862,1.437755,-0.000000,17.859196,1,GeometricAttack
1.000000,0.759327,1.000000,0.394386,10.827960,0.013298,173.793212,0.761413,0.000000,5.838597,0,Normal
0.935715,0.652534,0.912397,0.464664,10.286650,0.052661,161.294707,1.559629,2.000000,29.171384,2,MajorityAttack
0.895595,0.504785,0.877067,1.027141,27.463674,0.064132,71.605334,5.857539,3.000000,31.318302,5,MultiStageAttack
1.000000,0.678103,1.000000,0.277521,10.830536,0.000000,107.682600,1.856063,1.000000,27.876955,3,TrafficAnomaly
1.000000,0.689161,0.987185,0.812663,33.987311,0.145353,70.386006,5.787841,5.000000,10.715115,4,CarrierDisruption
0.910831,0.641859,0.841037,0.383831,38.119599,0.088595,68.620788,5.846442,5.000000,30.677082,5,MultiStageAttack
0.991619,0.690924,0.957145,0.342558,9.932017,0.000000,176.789937,1.413724,1.000000,8.259851,0,Normal
0.984955,0.703682,0.991673,0.523624,40.187838,0.053013,89.799407,5.622246,3.000000,10.965553,4,CarrierDisruption
0.941400,0.677251,1.000000,0.405609,10.318732,0.000000,114.393516,1.841617,0.000000,17.546668,3,TrafficAnomaly
0.917828,0.686446,0.920627,0.647917,10.108230,0.034236,182.767628,1.611427,1.000000,12.992993,1,GeometricAttack
